epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.993,0.71133,0.94014,1.73164,0.92639,0.95898,0.88916,0.96146,0.73472,0.95708,0.88739,0.95687,0.76682,0.77827,1.01359,1.45591,0.95388,0.000550522,0.000550522,0.000550522
2,90.6576,0.71272,0.78877,0.92009,0.9238,0.94504,0.91677,0.97459,0.75457,0.94504,0.91677,0.97483,0.79267,0.78754,0.81954,0.7191,0.95889,0.00108429,0.00108429,0.00108429
3,116.753,0.71128,0.79483,0.7062,0.92414,0.95126,0.90098,0.96674,0.7509,0.94846,0.89961,0.96632,0.76005,0.74588,0.84364,0.71941,0.96206,0.00159605,0.00159605,0.00159605
4,143.103,0.70486,0.782,0.60428,0.92728,0.95712,0.93822,0.97658,0.78946,0.95647,0.93959,0.97659,0.7818,0.68193,0.78061,0.77669,0.93182,0.00156798,0.00156798,0.00156798
5,169.056,0.67305,0.78324,0.5353,0.91529,0.97472,0.95724,0.98773,0.79492,0.97593,0.95846,0.98757,0.80359,0.66653,0.74716,0.45178,0.91127,0.00153497,0.00153497,0.00153497
6,194.889,0.66828,0.75435,0.50757,0.91576,0.94229,0.9413,0.978,0.81224,0.94262,0.94045,0.97805,0.80103,0.60394,0.73302,0.5,0.89381,0.00150197,0.00150197,0.00150197
7,220.545,0.63601,0.72433,0.46869,0.91009,0.96913,0.96353,0.98623,0.84575,0.97223,0.96288,0.98561,0.82774,0.56463,0.70626,0.39465,0.88586,0.00146896,0.00146896,0.00146896
8,246.49,0.62719,0.7249,0.45547,0.90273,0.97355,0.96506,0.98854,0.84579,0.97355,0.96506,0.98881,0.82791,0.57368,0.70438,0.39897,0.87552,0.00143595,0.00143595,0.00143595
9,272.472,0.60736,0.71987,0.43142,0.89151,0.94329,0.95342,0.98368,0.83877,0.94547,0.95294,0.98249,0.80955,0.57373,0.7107,0.42505,0.88512,0.00140295,0.00140295,0.00140295
10,298.18,0.60414,0.69476,0.42079,0.89647,0.97493,0.94529,0.98199,0.81235,0.97254,0.94343,0.98179,0.78357,0.61496,0.75568,0.43097,0.88965,0.00136994,0.00136994,0.00136994
11,324.151,0.59533,0.6984,0.41271,0.89126,0.98451,0.96953,0.99132,0.8597,0.9833,0.96831,0.99073,0.82529,0.54217,0.69138,0.33977,0.87221,0.00133693,0.00133693,0.00133693
12,350.011,0.58364,0.69077,0.40557,0.88699,0.98766,0.97569,0.99146,0.86977,0.98644,0.97447,0.99118,0.8365,0.53456,0.68336,0.32777,0.86762,0.00130393,0.00130393,0.00130393
13,375.934,0.58636,0.69606,0.39252,0.88949,0.979,0.96857,0.98656,0.84856,0.979,0.96857,0.98678,0.82574,0.54193,0.67991,0.34614,0.87203,0.00127092,0.00127092,0.00127092
